Master  Plot,LS,HQ,Crustose, Foliose, Fruticose, Squam, Bark, Non calc. rock, # Humus, PB Cyanobact., PB Absent, PB Green coccoid, PB Green trent., Sexual,#  Asexual, # EpiphyticMacrolichen No, # EpiphyticMacrolichen Yes,# Broad Lobes,# Narrow Lobes,# Pruina Pres,# Pruina Abs,# Cor Chem Absent,# Cort Chem Present
167,109,75.2,55,35,6,6,85,13,7,7,4,86,12,54,49,68,41,35,9,23,82,57,47
168,97,84.2,53,32,4,2,81,5,1,6,2,79,5,35,56,56,37,31,4,13,78,47,42
169,79,58.2,34,32,4,2,67,2,4,0,2,74,1,30,42,40,37,30,7,13,62,41,32
170,118,63.2,65,37,5,5,102,5,6,9,3,88,15,62,49,72,45,37,8,24,90,59,54
171,108,61.6,54,39,3,5,82,15,3,2,0,101,1,36,64,64,40,37,7,16,88,59,43
172,100,72.2,44,37,7,2,76,10,7,1,1,96,1,37,53,54,45,37,9,19,79,51,44
173,114,72.2,56,41,6,6,98,3,4,7,3,93,9,42,66,62,50,41,6,21,88,67,42
174,86,66.2,48,30,3,2,78,4,1,4,1,68,11,41,41,50,34,25,8,15,68,52,30
175,92,62.2,48,34,7,1,86,3,2,5,2,76,9,43,47,50,42,30,7,19,71,52,37
176,109,59.2,60,37,7,1,99,1,3,4,4,90,10,52,52,64,44,35,5,18,86,56,47
177,103,72.6,40,50,5,4,95,2,1,9,0,88,3,31,68,45,57,47,8,12,90,61,39
178,95,78.2,37,32,6,0,53,20,13,1,0,90,0,39,44,58,33,38,7,7,84,44,44
179,70,89,36,22,1,2,46,15,3,0,0,64,4,23,39,46,23,25,6,4,65,37,32
180,102,73.2,54,37,3,3,85,10,2,8,1,84,6,41,56,60,41,37,6,17,83,54,43
181,117,79.2,58,43,9,1,73,36,1,3,3,102,5,49,66,73,42,41,6,11,101,64,45
182,99,80.2,47,37,5,2,79,11,4,3,2,84,6,46,47,56,41,36,8,17,78,53,39
183,95,81.2,55,28,3,1,74,5,6,2,3,84,4,48,40,63,30,28,7,13,77,43,44
184,94,89.2,45,35,7,0,82,2,3,0,0,87,3,38,50,49,42,34,4,16,75,47,42
185,60,81.2,25,26,3,0,48,3,3,0,0,56,1,9,44,28,29,27,2,5,52,24,32
186,86,84.2,40,37,3,0,78,2,2,5,1,73,3,30,52,44,40,38,3,10,73,49,31
187,81,76.2,37,30,2,1,43,30,4,0,0,76,3,33,41,54,25,33,7,7,72,41,37
188,68,76.2,30,24,3,1,39,18,7,0,2,62,1,27,35,40,25,28,4,5,58,30,32
189,93,71.2,51,33,1,1,55,28,3,0,0,91,1,37,52,62,30,33,7,10,82,50,39
190,146,79.2,68,49,9,2,87,37,11,5,3,133,0,61,75,91,52,53,8,10,130,75,64
191,113,82.2,63,40,4,0,96,9,3,6,2,96,6,49,58,69,43,39,6,16,94,56,51
192,121,76.2,66,46,4,0,96,21,2,4,0,109,6,52,65,75,46,42,9,16,105,70,46
193,100,71.2,53,36,6,1,83,11,3,0,2,92,4,37,60,58,42,35,5,16,82,56,38
194,84,66.2,47,30,4,0,71,7,1,0,3,78,3,40,41,51,33,28,5,10,71,49,30
195,99,48.2,56,31,3,0,54,35,6,0,1,96,1,50,43,67,31,30,8,8,89,56,40
196,89,69.2,50,29,4,0,74,9,2,1,1,84,2,41,42,55,33,29,5,14,73,51,33
197,122,74.2,68,41,7,3,112,5,1,7,1,104,7,48,70,72,49,37,9,18,102,69,47
198,104,78.2,56,38,7,0,95,3,1,4,3,90,5,45,56,58,45,35,5,12,88,52,46
199,111,77.2,56,42,8,0,92,13,1,3,4,99,3,43,64,61,49,38,8,15,91,57,46
200,87,75.2,54,31,0,1,77,7,1,2,1,79,4,37,48,56,31,29,4,15,71,45,40
201,63,65.2,34,23,2,1,57,1,2,1,1,56,4,26,33,37,25,22,4,14,47,33,26
202,79,75.2,44,25,1,1,54,18,2,0,1,73,5,32,43,57,22,26,7,5,73,41,34
203,87,58.2,38,33,7,0,64,14,6,0,2,82,3,39,45,50,37,33,6,7,78,46,36
204,100,70.2,50,41,2,1,86,5,2,0,2,92,3,38,56,54,44,37,8,14,82,54,39
205,97,68.2,51,40,1,3,87,9,1,3,0,82,10,37,58,55,42,37,7,12,85,49,46
206,108,61.2,57,43,3,1,89,15,2,4,2,95,7,46,60,64,44,36,11,11,95,56,46
207,107,75.2,57,38,5,2,91,5,3,4,2,95,5,35,66,63,44,38,6,15,90,55,48
208,106,70.2,55,41,5,1,98,1,1,1,2,94,5,47,54,57,47,37,6,19,83,60,37
